ANNEE13;DUREE;SMICBH;SMICBM;SMICBA;SMICNH;SMICNM;SMICNA;COUT_SMICM;COUT_SMICA
1951;173.3;0.1;23.5;282.4;0.1;22.1;265.5;29.8;358.1
1952;173.3;0.2;26.4;317.0;0.1;24.8;298.0;33.6;403.7
1953;173.3;0.2;26.4;317.0;0.1;24.8;298.0;33.7;404.8
1954;173.3;0.2;30.5;365.8;0.2;28.6;343.8;39.1;469.5
1955;173.3;0.2;33.0;395.9;0.2;31.0;372.1;42.3;508.1
1956;173.3;0.2;33.3;399.5;0.2;31.3;375.5;42.7;512.7
1957;173.3;0.2;34.1;409.3;0.2;32.1;384.7;43.8;525.3
1958;173.3;0.2;38.7;464.3;0.2;36.4;436.5;49.7;596.0
1959;173.3;0.2;41.2;495.0;0.2;38.7;464.3;52.3;628.1
1960;173.3;0.2;42.6;510.7;0.2;39.9;479.0;54.0;648.0
1961;173.3;0.2;43.4;520.7;0.2;40.7;488.4;56.5;677.7
1962;173.3;0.3;45.5;546.5;0.2;42.3;507.9;59.7;716.1
1963;173.3;0.3;48.7;584.6;0.3;45.3;543.4;63.8;766.1
1964;173.3;0.3;50.0;600.4;0.3;46.5;558.1;65.6;786.9
1965;173.3;0.3;52.2;626.1;0.3;48.5;581.9;68.4;820.5
1966;173.3;0.3;54.3;651.6;0.3;50.5;605.7;71.3;855.6
1967;173.3;0.3;56.1;673.7;0.3;52.1;625.5;73.8;885.6
1968;173.3;0.4;70.8;850.2;0.4;65.1;780.7;94.1;1128.9
1969;173.3;0.5;83.5;1002.6;0.4;76.7;920.6;111.0;1331.7
1970;173.3;0.5;90.2;1082.7;0.5;82.8;994.1;119.8;1437.9
1971;173.3;0.6;99.3;1192.0;0.5;91.2;1094.1;132.2;1586.4
1972;173.3;0.6;110.7;1327.8;0.6;101.5;1218.2;148.2;1777.8
1973;173.3;0.8;130.8;1569.8;0.7;119.9;1438.6;175.6;2107.4
1974;173.3;0.9;161.1;1932.8;0.8;147.5;1770.1;217.4;2609.4
1975;173.3;1.1;192.1;2305.1;1.0;175.4;2105.0;260.8;3129.1
1976;173.3;1.3;220.4;2644.8;1.1;199.1;2389.2;302.0;3624.0
1977;173.3;1.4;248.4;2980.6;1.3;223.2;2678.1;341.5;4098.4
1978;173.3;1.6;280.4;3364.8;1.4;251.6;3019.2;386.9;4642.7
1979;173.3;1.8;315.3;3783.8;1.6;277.0;3323.7;438.0;5256.1
1980;173.3;2.1;364.5;4374.5;1.8;317.9;3814.6;506.7;6080.6
1981;173.3;2.5;430.5;5166.1;2.2;375.0;4499.6;598.4;7180.8
1982;169.0;2.9;494.0;5928.0;2.5;429.9;5158.6;687.2;8247.0
1983;169.0;3.3;553.8;6645.8;2.8;478.2;5738.0;776.1;9313.4
1984;169.0;3.6;606.1;7273.7;3.0;513.9;6167.3;848.1;10176.9
1985;169.0;3.9;655.5;7865.7;3.3;554.1;6649.7;918.5;11021.4
1986;169.0;4.0;683.4;8200.9;3.4;575.8;6909.9;956.0;11471.4
1987;169.0;4.2;711.0;8532.0;3.5;593.8;7125.1;995.7;11948.2
1988;169.0;4.3;730.5;8765.9;3.6;606.4;7276.6;1023.7;12284.5
1989;169.0;4.5;761.1;9132.8;3.7;624.1;7489.8;1058.6;12703.7
1990;169.0;4.7;793.6;9523.1;3.8;651.1;7813.7;1094.8;13137.1
1991;169.0;4.9;832.2;9986.1;4.0;680.2;8162.0;1146.6;13758.7
1992;169.0;5.1;865.1;10380.8;4.1;700.2;8402.7;1198.8;14385.7
1993;169.0;5.2;887.4;10649.2;4.2;709.5;8513.8;1211.7;14540.5
1994;169.0;5.4;906.8;10881.1;4.2;716.8;8601.5;1217.2;14606.8
1995;169.0;5.5;934.5;11213.5;4.4;738.7;8864.2;1214.5;14574.5
1996;169.0;5.7;967.9;11614.9;4.5;758.5;9102.0;1178.6;14142.9
1997;169.0;5.9;996.3;11955.5;4.6;783.4;9401.2;1214.3;14571.3
1998;169.0;6.1;1026.0;12312.6;4.8;813.0;9756.5;1254.4;15052.7
1999;169.0;6.2;1042.7;12512.0;4.9;823.6;9883.2;1278.4;15340.3
2000;169.0;6.3;1066.4;12796.7;5.0;842.3;10108.1;1306.9;15683.0
2001;169.0;6.5;1105.3;13263.1;5.2;874.3;10491.1;1351.1;16212.8
2002;169.0;6.8;1140.8;13689.0;5.3;902.9;10834.8;1395.7;16748.5
2003;169.0;7.0;1184.7;14216.3;5.5;933.5;11202.4;1439.8;17277.5
2004;169.0;7.4;1250.6;15007.2;5.8;985.5;11825.7;1492.1;17905.1
2005;169.0;7.8;1321.6;15859.0;6.2;1039.3;12471.5;1544.2;18530.4
